1,,,,,,,,,,,,,,,TP," Which combination leads us to papers surveying ""Gut Microbiome interaction with IBD disease"""
Pub 1 Title,Severe Dysbiosis and Specific Haemophilus and Neisseria Signatures as Hallmarks of the Oropharyngeal Microbiome in Critically Ill Coronavirus Disease 2019 (COVID-19) Patients,,,,,,,,,,,,,,FP,"Which result in papers surveying anything except for ""Gut microbiome with IBD disease"". "
Keywords,SARS-CoV-2,COVID-19,microbiome,dysbiosis,machine learning,oropharyngeal microbiome,Neisseria subflava,Haemophilus spp.,Upper Respiratory Tract infection,shotgun metagenome sequencing,,,,,,"For example they have worked on ""Gut Microbiome"" or a family of bacteria found normally in the gut but not its relation to IBD."
SQ_TP,microbiome AND IBD NOT oropharyngeal,,,,,,,,,,,,,,,Another example would be papers focusing on gastronomical diseases but NOT from microbiome aspects.
SQ_FP,shotgun metagenome sequencing oropharyngeal microbiome,dysbiosis in the oropharyngeal microbiome,Neisseria subflava AND Upper Respiratory Tract infection,Haemophilus spp. AND Upper Respiratory Tract infection,COVID-19 AND oropharyngeal microbiome,COVID-19 AND machine learning,,,,,,,,,other,"Papers similar to ""True Positives"" papers but not necessarily exactly IBD and gut microbiome."
SQ_R,Microbiome AND machine learning,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
Pub 2 Title,Secondary infections rejuvenate the intestinal CD103+ tissue-resident memory T cell pool,,,,,,,,,,,,,,,"Papers which have worked on ""Saliva microbiome"" and IBD, or gut microbiome and other inflammatory diseases or cancer, ""Vira"" and IBD, metabolites and diseases and ..."
Keywords,Tissue-resident memory T cells,secondary infections,intestine,CD103,mouse model,inflammation ,viral or bacterial reinfection,antigen,fate-mapping,tamoxifen-sensitive ERT2 ,de novo cell formation,cell rejuvenation ,,,,
SQ_TP,"intestine AND inflammation AND ""Tissue-resident memory T cells"" AND microbiota",,,,,,,,,,,,,,,
SQ_FP,Intestinal tissue-resident memory T cells during secondary infection,gut-resident CD103-expressing CD8+ T cells during reinfection,fate-mapping to label CD103+ cells,CD103+ cells in inflammation,Tissue-resident memory T cells in viral or bacterial intestinal reinfection,de novo cell formation in CD103+ cells,Tissue-resident memory T cells AND CD103,,,,,,,,,
SQ_R,Intestine and inflammaion,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
Pub 3 Title,"Primer, Pipelines, Parameters: Issues in 16S rRNA Gene Sequencing",,,,,,,,,,,,,,,
Keywords,16S rRNA gene sequencing, amplicon sequencing,variable regions,clustering,bioinformatic settings,microbiome,databases,mock communities,primer choice,taxonomic classification,,,,,,
SQ_TP,16S rRNA gene sequencing AND microbiome AND IBD,,,,,,,,,,,,,,,
SQ_FP,Primer choice for 16S rRNA gene sequencing,Bioinformatic settings for taxonomic classification of the microbiome,Bioinformatic settings and clustering,,,,,,,,,,,,,
SQ_R,"Effects of primer choice, reference databases, clustering method, and bioinformatic settings for microbiome analysis",Primer choice for 16S rRNA gene sequencing,16S rRNA gene sequencing AND microbiome,microbiome AND databases,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
Pub 4 Title,Pre-digest of unprotected DNA by Benzonase improves the representation of living skin bacteria and efficiently depletes host DNA,,,,,,,,,,,,,,,
Keywords,microbiome,Benzonase,dead microbial cells,living microbiome,host DNA depletion,next-generation sequencing,skin,α-diversity bias,pre-digest unprotected DNA,,,,,,,
SQ_TP,living microbiome AND next-generation sequencing AND IBD,,,,,,,,,,,,,,,
SQ_FP,Depletion of host DNA reads,pre-digest unprotected DNA with Benzonase,α-diversity bias in skin microbiome,Benzonase AND dead microbial cells,,,,,,,,,,,,
SQ_R,Separate dead microbial cells from the living microbiome,next-generation sequencing AND host DNA depletion,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
Pub 5 Title,Synthetic Microbiomes on the Rise—Application in Deciphering the Role of Microbes in Host Health and Disease,,,,,,,,,,,,,,,
Keywords,synthetic communities,minimal microbiota,intestinal microbiota,host–microbe interactions,gnotobiotic animal models,microbiome,intestinal diseases,metabolism,,,,,,,,
SQ_TP,intestinal microbiota AND host–microbe interactions AND intestinal diseases,,,,,,,,,,,,,,,
SQ_FP,"Connection between Microbiome, Lifestyle and Diet",generation of minimal microbiomes,Minimal microbiota in synthetic communities,Synthetic communities AND metabolism,,,,,,,,,,,,
SQ_R,mechanisms of host–microbiota interactions and their role in host health and disease,host-microbe interactions AND intestinal diseases,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
Pub 6 Title,Experience with polyethylene glycol allergy-guided risk management for COVID-19 vaccine anaphylaxis,,,,,,,,,,,,,,,
Keywords,Polyethylene glycol,COVID-19,basophil activation test,allergy,vaccine hypersensitivity,skin test,mRNA vaccine,anaphylaxis,,,,,,,,
SQ_TP,microbiome AND IBD,,,,,,,,,,,,,,,
SQ_FP,Polyethylene glycol allergy,COVID-19 vaccine hypersensitivity,COVID-19 vaccine allergy,skin test for COVID-19 mRNA vaccine,COVID-19 vaccine for PEG-allergic patients,basophil activation test for COVID-19 vaccine,vaccine hypersensitivity AND anaphylaxis,,,,,,,,,
SQ_R,microbiome,IBD,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
Pub 7 Title,In vivo inducible reverse genetics in patients’ tumors to identify individual therapeutic targets,,,,,,,,,,,,,,,
Keywords,Cre-ERT2-loxP,molecular model systems,patient-derived xenograft models,leukemia,inducible RNAi mediated gene silencing ,,High-throughput sequencing,mice,MCL1,MLL-AF4 ,DUX4 ,DDIT4L ,precision oncology,,,
SQ_TP,microbiome AND IBD,,,,,,,,,,,,,,,
SQ_FP,molecular model systems for leukemia,patient-derived xenograft models for leukemia,inducible RNAi mediated gene silencing of MCL1,precision oncology for leukemia,MCL1 inducible RNAi mediated gene silencing,leukemia mouse model,,,,,,,,,,
SQ_R,microbiome,IBD,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
Pub 8 Title,"E. coli enhance colonization resistance against Salmonella Typhimurium by competing for galactitol, a context-dependent limiting carbon source",,,,,,,,,,,,,,,
Keywords,Oligo-MM,ecosystem invasion,Blautia coccoides,Enterocloster clostridioformis,Enterococcus faecalis,niche pre-emption,sDMDMm2,nutrient-niche hypothesis,Freter,Lachnospiraceae,Salmonella Typhimurium,Escherichia coli,E.coli,,,
SQ_TP,E. coli  OR Escherichia coli AND IBD,,,,,,,,,,,,,,,
SQ_FP,prevent Salmonella invasion,Lachnospiraceae contributing to colonization resistance of Salmonella,Oligo-MM AND Blautia coccoides,ecosystem invasion of Enterocloster clostridioformis,nutrient-niche hypothesis Lachnospiraceae,Salmonella Typhimurium and Escherichia coli,,,,,,,,,,
SQ_R,E. coli  OR Escherichia coli AND ecosystem invasion,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
Pub 9 Title,The Colorectal Cancer Lipidome: Identification of a Robust Tumor-Specific Lipid Species Signature,,,,,,,,,,,,,,,
Keywords,Biomarker,Mass Spectrometry,Signature,Sphingomyelin,Triacylglycerol,colorectal cancer,lipidome,,,,,,,,,
SQ_TP,microbiome AND IBD Biomarker,,,,,,,,,,,,,,,
SQ_FP,lipids as oncological biomarker,lipid signature in tumors,change of lipidome in colorectal cancer,Sphingomyelin as Biomarker,Sphingomyelin and Triacylglycerol in colorecal cancer,,,,,,,,,,,
SQ_R,microbiome AND lipidome,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
Pub 10 Title,Genetic Screens Identify a Context-Specific PI3K/p27Kip1 Node Driving Extrahepatic Biliary Cancer,,,,,,,,,,,,,,,
Keywords,Biliary tract cancer,Pdx1-positive extrahepatic biliary epithelium,PIK3CAH1047R,KrasG12D,genome-wide transposon screens,loss-of-function,extrahepatic holangiocarcinoma,PI3K signaling,p27Kip1,genetically engineered mouse model,,,,,,
SQ_TP,microbiome AND IBD,,,,,,,,,,,,,,,
SQ_FP,Biliary tract cancer driver,Biliary tract cancer mouse model,Pdx1-Cre Mediated Genetic Manipulation of the Extrahepatic Biliary Epithelium,PI3K signaling in mouse model,genome-wide transposon AND p27Kip1,,,,,,,,,,,
SQ_R,microbiome AND mouse model,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
Pub 11 Title,Single-cell RNA sequencing reveals ex vivo signatures of SARS-CoV-2-reactive T cells through ‘reverse phenotyping’,,,,,,,,,,,,,,,
Keywords,(SARS)-CoV-2,peptide-human leukocyte antigen multimers,coronavirus,COVID-19,antigenic stimulation, antigen-reactive T cell receptor,reverse phenotyping,antigen-reactive clonotypes,,,,,,,,
SQ_TP,T cells AND microbiome AND disease,,,,,,,,,,,,,,,
SQ_FP,identification of SARS-CoV-2-reactive TCRs2,SARS-CoV-2-reactive T cells,reverse phenotyping of antigen-reactive T cells,peptide-human leukocyte antigen multimers AND COVID-19,antigen-reactive clonotypes AND antigenic stimulation,,,,,,,,,,,
SQ_R,antigenic stimulation AND T cells,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,
Pub 12 Title,Helicobacter hepaticus is required for immune targeting of bacterial heat shock protein 60 and fatal colitis in mice,,,,,,,,,,,,,,,
Keywords,Colitis,CD40,Helicobacter hepaticus,GroEL,CD103,iTregs,Gut microbiota,immune system,inflammatory bowel disease,mice,IL-17,IFN-γ,Th17/Th1,antibody therapy,,
SQ_TP,immune regulation of inflammatory bowel disease,gut microbiota AND inflammatory bowel disease,Helicobacter hepaticus AND inflammatory bowel disease,,,,,,,,,,,,,
SQ_FP,immune system AND IFN-γ+ cells,,,,,,,,,,,,,,,
SQ_R,Gut microbiota and immune system, colitis in transgenic DC-LMP1/CD40 animals,intestinal CD103+ dendritic cells in inflammatory bowel disease,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
Pub 13 Title,GPR Expression in Intestinal Biopsies From SCT Patients Is Upregulated in GvHD and Is Suppressed by Broad-Spectrum Antibiotics,,,,,,,,,,,,,,,
Keywords,Microbiota ,short-chain fatty acids,graft-versus-host disease,allogeneic hematopoietic stem cell transplantation,gastrointestinal biopsies,GPR109A ,GPR43 ,FOXP3,regulatory T cell infiltrates,Broad Spectrum Antibiotics,Microbiome,,,,,
SQ_TP,Microbiota  AND GPR109A AND intestine,,,,,,,,,,,,,,,
SQ_FP,graft-versus-host disease after allogeneic hematopoietic stem cell transplantation,GPR expression in graft-versus-host disease,GPR expression in with antibiotics treated patients,Association of GPR With FOXP3 and NLRP3 Expression,regulatory T cell infiltrates AND graft-versus-host disease,,,,,,,,,,,
SQ_R,Broad Spectrum Antibiotics AND microbiota,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
Pub 14 Title,ITN—VIROINF: Understanding (Harmful) Virus-Host Interactions by Linking Virology and Bioinformatics,,,,,,,,,,,,,,,
Keywords,bioinformatic,virus,virology,virus host interaction,virus regulation,virus products,virus evolution,collaboration,network,,,,,,,
SQ_TP,microbiome AND IBD,,,,,,,,,,,,,,,
SQ_FP,virus evolution in host,virology research groups,bioinformatics in virology,collaboration in virology,virus regulation AND virus products,,,,,,,,,,,
SQ_R,bioinformatic network AND disease,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
Pub 15 Title,Bridging the Species Gap: Morphological and Molecular Comparison of Feline and Human Intestinal Carcinomas,,,,,,,,,,,,,,,
Keywords,spontaneous feline intestinal tumors,comparative oncology,colorectal cancer,CTNNB1,cat,intestine,β-catenin,adenocarcinoma,adenocarcinoma,WNT/β-catenin signaling pathway,tumor budding,KRAS,Colonic Neoplasias,β-Catenin,Sanger Sequencing,
SQ_TP,intestine AND IBD AND microbiome,,,,,,,,,,,,,,,
SQ_FP,Intestinal Carcinomas cat model,spontaneous feline intestinal tumors AND CTNNB1,tumor budding in colorectal cancer,β-catenin in feline intestinal tumors,adenocarcinoma AND adenocarcinoma in the intestine,,,,,,,,,,,
SQ_R,sanger sequencing AND intestine,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,
Pub 16 Title,Viable but nonculturable bacteria and their resuscitation: implications for cultivating uncultured marine microorganisms,,,,,,,,,,,,,,,
Keywords,microbiology,culturing,micro-colonies,marine,dormancy,culturability ,Rpfs,YeaZ,catalase,high-throughput sequencing,viable but nonculturable cells,resuscitation stimuli,Sodium pyruvate,,,
SQ_TP,microbiome AND IBD,,,,,,,,,,,,,,,
SQ_FP,bacterial culturability,culturing marine micro-colonies,Rpfs AND micro-colonies,resuscitation stimuli in micro-colonies,Sodium pyruvate for resuscitation stimuli,,,,,,,,,,,
SQ_R,microbiology NOT marine,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,
Pub 17 Title,Insights into a Pyruvate Sensing and Uptake System in Vibrio campbellii and Its Importance for Virulence,,,,,,,,,,,,,,,
Keywords,Pyruvate ,virulence ,bacteria,growth,Vibrio campbellii,marine ,aquaculture,pyruvate transporter,LytS-type histidine kinase BtsS,LytTR-type response regulator BtsR,brine shrimp larvae,viable but nonculturable bacteria,E. coli,Luria marine medium,,
SQ_TP,bacteria NOT virulence AND IBD,,,,,,,,,,,,,,,
SQ_FP,Pyruvate uptake by Vibrio campbellii,aquaculture on Luria marine medium,viable but nonculturable bacteria AND virulence,Bacteria growth with pyruvate,"pyruvate transporter in Vibrio campbellii""",E. coli on Luria marine medium,,,,,,,,,,
SQ_R,bacteria AND growth,IBD,,,,,,,,,,,,,,
18,<Editorial>,,,,,,,,,,,,,,,
Pub 18 Title,Intestinal microbiota in health and disease – Seeding multidisciplinary research in Germany,,,,,,,,,,,,,,,
Keywords,microbiome,intestine, microbe-microbe interactions,microbe-host interactions,minimal microbial consortia,bacterial strain collections,gnotobiotic mouse studies,infectious and inflammatory bowel diseases,Germany,,,,,,,
SQ_TP,microbe-microbe interactions AND microbe-host interactions,microbe-microbe interactions AND microbe-microbe interactions,,,,,,,,,,,,,,
SQ_FP,bacterial strain collections in Germany,intestine microbiome research in Germany,gnotobiotic mouse studies for microbe-host interactions,minimal microbial consortia AND bacterial strain collections,,,,,,,,,,,,
SQ_R,infectious and inflammatory bowel diseases in Germany,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
Pub 19 Title,The human symbiont Mucispirillum schaedleri: causality in health and disease,,,,,,,,,,,,,,,
Keywords, microbe-host homeostasis,symbiont,Mucispirillum schaedleri,intestine,Intestinal inflammation,phylum Deferribacteres,Salmonella enterica serovar Typhimurium,colitis ,review,metabolism,,,,,,
SQ_TP,Mucispirillum schaedleri AND Intestinal inflammation,microbe-host homeostasis AND colitis,,,,,,,,,,,,,,
SQ_FP,Mucispirillum schaedleri metabolism,,,,,,,,,,,,,,,
SQ_R,Mucispirillum schaedleri in the intestine,Salmonella enterica serovar Typhimurium AND colitis,phylum Deferribacteres AND Intestinal inflammation,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
Pub 20 Title,Skin and gut imprinted helper T cell subsets exhibit distinct functional phenotypes in central nervous system autoimmunity,,,,,,,,,,,,,,,
Keywords,helper T cell–induced immunopathology,priming,antigen-specific T cells, inguinal lymph nodes, gut draining mesenteric lymph nodes,multiple sclerosis,Cxcr6,P2rx7,mouse,immunization,single-cell,flow cytometry,scRNA-seq,Immunohistochemistry,central nervous system,
SQ_TP,Cxcr6 AND microbiome AND T cells,,,,,,,,,,,,,,,
SQ_FP,helper T cell–induced immunopathology in  inguinal lymph nodes,multiple sclerosis mouse model,multiple sclerosis immunization,Cxcr6 in central nervous system,antigen-specific T cells in central nervous system,Cxcr6 for immunization,flow cytometry for scRNA-seq,Immunohistochemistry of multiple sclerosis,,,,,,,,
SQ_R,helper T cell–induced immunopathology,,,,,,,,,,,,,,,