1,,,,,,,,,
Pub 1 Title,High-Fructose Diet Alters Intestinal Microbial Profile and Correlates with Early Tumorigenesis in a Mouse Model of Barrett’s Esophagus,,,,,,,,
Keywords,Barrett's esophagus,esophageal adenocarcinoma,IL-1B-mouse,Western diet,fructose,microbiota,metabolism,weight management,gastrointestinal health
SQ_TP,High-fructose diet AND gut microbiota AND Barrett's esophagus,Dietary fructose AND microbiome AND esophageal adenocarcinoma,,,,,,,
SQ_FP,Fructose AND weight management,Gut microbes AND gastrointestinal health,,,,,,,
SQ_R,Microbiome AND mood disorders,High-sugar diet AND esophageal adenocarcinoma,,,,,,,
2,,,,,,,,,
Pub 2 Title,Handling of spurious sequences affects the outcome of high-throughput 16S rRNA gene amplicon profiling.,,,,,,,,
Keywords,Spurious sequences,high-throughput,16S rRNA gene amplicon profiling,diversity analysis,sequencing artifacts,microbiota composition,,,
SQ_TP,squrious sequences AND 16S rRNA gene diversity,artifact sequences AND microbiome profiling,,,,,,,
SQ_FP,metagenomics AND sequencing artifacts,amplicon sequencing AND data quality metrics,,,,,,,
SQ_R,spurious taxa AND microbiome analysis,bias correction NOT microbiome profiling,,,,,,,
3,,,,,,,,,
Pub 3 Title,MALT1 protease function in regulatory T cells induces MYC activity to promote mitochondrial function and cellular expansion.,,,,,,,,
Keywords,MALT1 protease,Treg's mitochondrial function,Immune regulation,Regulatory T cells,Signal transduction,TCR,,,
SQ_TP,MALT1 protease AND Tregs' mitochondrial function,Regulatory T cell AND TCR,,,,,,,
SQ_FP,autoimmunity AND protein degradation,,,,,,,,
SQ_R,MALT1 protease NOT cancer,Signaling pathways AND cancer progression,,,,,,,
4,,,,,,,,,
Pub 4 Title,Loss of SATB2 Occurs More Frequently Than CDX2 Loss in Colorectal Carcinoma and Identifies Particularly Aggressive Cancers in High-Risk Subgroups.,,,,,,,,
Keywords,SATB2,CDX2,colorectal cancer,aggressive subtypes,prognosis,,,,
SQ_TP,SATB2 AND CDX2,epigenomic dysregulation AND colorectal cancer,,,,,,,
SQ_FP,epigenetics AND colorectal cancer,,,,,,,,
SQ_R,epigenomic markers AND personalized colorectal cancer treatment,,,,,,,,
5,,,,,,,,,
Pub 5 Title,Microbiota and Colorectal Cancer: From Gut to Bedside. ,,,,,,,,
Keywords,Microbiota,colorectal cancer,dysbiosis,inflammation,,,,,
SQ_TP,gut microbiome AND colorectal cancer,dysbiosis AND inflammation,,,,,,,
SQ_FP,gut microbiome NOT gut health,,,,,,,,
SQ_R,microbiota AND biomarkers,,,,,,,,
6,,,,,,,,,
Pub 6 Title,Deficiency in X-linked inhibitor of apoptosis protein promotes susceptibility to microbial triggers of intestinal inflammation.,,,,,,,,
Keywords,XIAP,intestinal inflammation,microbial triggers,IBD,microbiota,,,,
SQ_TP,apoptosis pathways AND intestinal inflammation,XIAP AND autophagy,,,,,,,
SQ_FP,apoptosis pathways NOT intestinal inflammation,,,,,,,,
SQ_R,XIAP AND regulation,,,,,,,,
7,,,,,,,,,
Pub 7 Title,Protein Kinase D2 drives chylomicron‐mediated lipid transport in the intestine and promotes obesity.,,,,,,,,
Keywords,PKD2,chylomicrons,lipid transport,obesity,intestinal microbiota,,,,
SQ_TP,PKD2 AND lipid metabolism,PKD2 AND obesity,,,,,,,
SQ_FP,lipid metabolism AND obesity,,,,,,,,
SQ_R,PKD2 AND diet,,,,,,,,
8,,,,,,,,,
Pub 8 Title,Gut Phage Database: phage mining in the cave of wonders.,,,,,,,,
Keywords,Gut phage database,taxonomic diversity,metagenomic analysis,human metabolism,allergies,obesity,type 2 diabetes,T2D,
SQ_TP,gut phase database AND metagenome sequencing,gut phage interactions AND gut microbiome,,,,,,,
SQ_FP,virus AND phages,gut virome AND dysbiosis,diet AND obesity,,,,,,
SQ_R,pathogens and resistance mechanisms,gut phage evolution AND resistance mechanisms,,,,,,,
9,,,,,,,,,
Pub 9 Title,XIAP restrains TNF-driven intestinal inflammation and dysbiosis by promoting innate immune responses of Paneth and dendritic cells.,,,,,,,,
Keywords,XIAP,XLP2,TLR5,microbiota homeostasis,,,,,
SQ_TP,XIAP AND TLR signaling ,,,,,,,,
SQ_FP,Clostridia species AND regulation,apoptosis AND immune system,,,,,,,
SQ_R,XIAP AND autophagy,XIAP AND intestinal microbial clearance,,,,,,,
10,,,,,,,,,
Pub 10 Title,In vitro interaction network of a synthetic gut bacterial community.,,,,,,,,
Keywords,Oligo-Mouse-Microbiota,microbiome,metagenomic data,genomic data,gastrointestinal tract,in vitro models,,,
SQ_TP,synthetic gut microbiome interaction AND in vitro models,,,,,,,,
SQ_FP,metagenomics AND in situ studies,,,,,,,,
SQ_R,microbial diversity AND mouse,perturbation experiments AND microbiome community,,,,,,,
11,,,,,,,,,
Pub 11 Title,Microbiome meta-analysis and cross-disease comparison enabled by the SIAMCAT machine learning toolbox.,,,,,,,,
Keywords,SIAMCAT,microbiome meta-analysis,cross-disease comparison,metagenome sequencing,microbiome,machine learning,,,
SQ_TP,Machine learning AND microbiome data analysis,Machine learning AND SIAMCAT,,,,,,,
SQ_FP,Gut microbiome AND disease association,Metagenomics AND microbiome profiling methods,,,,,,,
SQ_R,Metagenome sequencing AND cross-study analysis in microbiome studies,,,,,,,,
12,,,,,,,,,
Pub 12 Title,Anti-ferroptotic mechanism of IL4i1-mediated amino acid metabolism.,,,,,,,,
Keywords,IL4i1,anti-ferroptosis`,amino acid metabolism,redox signaling,,,,,
SQ_TP,IL4i1 AND anti-ferroptosis,amino acid metabolism AND IL4i1,,,,,,,
SQ_FP,ferroptosis AND oxidative stress,mitochondrial function AND amino acid catabolism,,,,,,,
SQ_R,amino acid signaling AND inflammation,,,,,,,,
13,,,,,,,,,
Pub 13 Title,Severe dysbiosis and specific Haemophilus and Neisseria signatures as hallmarks of the oropharyngeal microbiome in critically ill COVID-19 patients.,,,,,,,,
Keywords,Oropharyngeal microbiome,dysbiosis,Haemophilus,Neisseria,,,,,
SQ_TP,Oropharyngeal microbiome AND dysbiosis,Haemophilus AND Neisseria,,,,,,,
SQ_FP,Haemophilus NOT oral microbiota,,,,,,,,
SQ_R,Haemophilus AND COVID-19,,,,,,,,
14,,,,,,,,,
Pub 14 Title,Pathological RANK signaling in B cells drives autoimmunity and chronic lymphocytic leukemia.,,,,,,,,
Keywords,RANK signaling,B cells,Autoimmunity,prognosis,chronic lymphocytic leukemia,,,,
SQ_TP,RANK signaling AND osteoclast differentiation,B cells AND autoimmunity,,,,,,,
SQ_FP,B cells AND T cell activation,,,,,,,,
SQ_R,B cells AND antibody diversity,B cells AND immunoglobulin production,,,,,,,
15,,,,,,,,,
Pub 15 Title,"Serum IgE against galactose-alpha-1,3-galactose is common in Laotian patients with snakebite envenoming but not the major trigger for early anaphylactic reactions to antivenom.",,,,,,,,
Keywords,IgE,"galactose-alpha-1,3-galactose",snakebite envenoming,antivenom,early anaphylactic reactions,,,,
SQ_TP,IgE AND antivenom-induced anaphylaxis,"IgE AND galactose-alpha-1,3-galactose",,,,,,,
SQ_FP,IgE AND mast cells,"galactose-alpha-1,3-galactose AND glycoproteins","galactose-alpha-1,3-galactose AND glycolipids",,,,,,
SQ_R,Snake venom proteins AND IgE ,IgE AND cross-reactivity ,,,,,,,
16,,,,,,,,,
Pub 16 Title,Partial enteral nutrition has no benefit on bone health but improves growth in paediatric patients with quiescent or mild Crohn's disease.,,,,,,,,
Keywords,Partial enteral nutrition,pedriatic Crohn's disease,Crohn's disease,growth,bone health,pedriatic patients,,,
SQ_TP,Partial enteral nutrition AND growth,bone health AND Crohn's disease ,,,,,,,
SQ_FP,Enteral nutrition AND intestinal permeability,Pedriatic nutrition NOT nutritional markers,,,,,,,
SQ_R,Growth AND bone metabolism IN Crohn's disease,Partial enteral nutrition AND intestinal microbiota,,,,,,,
17,,,,,,,,,
Pub 17 Title,"Oral Health, Oral Microbiota, and Incidence of Stroke-Associated Pneumonia—A Prospective Observational Study.",,,,,,,,
Keywords,Oral health,oral microbiota,stroke-associated pneuomonia,oral hygiene,pneumonia in stroke patients,,,,
SQ_TP,oral health AND stroke-associated pneumonia,oral microbiota AND stroke-associated pneuomonia,,,,,,,
SQ_FP,stroke AND pneuomonia,stroke AND antibiotic resistance,,,,,,,
SQ_R,oral microbiome AND pneumonia prognosis,oral health AND oral care in pneumonia prevention,,,,,,,
18,,,,,,,,,
Pub 18 Title,Reproducible Colonization of Germ-Free Mice With the Oligo-Mouse-Microbiota in Different Animal Facilities.,,,,,,,,
Keywords,Oligo-mouse-microbiota,colonization,germ-free mice,OMM,,,,,
SQ_TP,Germ-free mice AND OMM,Germ-free mice AND Oligo-mouse-microbiota,,,,,,,
SQ_FP,OMM AND immune system modulation,Oligo-mouse-microbiota AND immune system modulation,Gnotobiotic mice AND gut microbiome,,,,,,
SQ_R,infection biology AND mucosal immunology,microbial ecology AND host-microbiome metabolic cross talk,,,,,,,
19,,,,,,,,,
Pub 19 Title,Function and Regulation of the Pyruvate Transporter CstA in Escherichia coli.,,,,,,,,
Keywords,CstA,pyruvate transporter,Escherichia coli,pyruvate uptake,CstA regulation,,,,
SQ_TP,CstA AND pyruvate transporter,Escherichia coli AND pyruvate uptake,,,,,,,
SQ_FP,CstA AND carbon starvation,CstA mutations AND pyruvate metabolism,,,,,,,
SQ_R,CstA AND disease,,,,,,,,
20,,,,,,,,,
Pub 20 Title,Label or Concept – What Is a Pathobiont?,,,,,,,,
Keywords,Pathobiont,Escherichia coli,disease,virulence,microbe-host interaction,microbe-microbe interactions,,,
SQ_TP,Pathobiont AND disease,Pathobiont AND virulence,,,,,,,
SQ_FP,Pathobiont NOT microbiome,,,,,,,,
SQ_R,Pathobiont AND Helicobacter hepaticus,Pathobiont AND Escherichia coli,,,,,,,