1,,,,,,,,,,,,,,,,,
Pub Title,Division of labor and collective functionality in Escherichia coli under acid stress,,,,,,,,,,,,,,,,
Keywords,acid stress,acid resistance,glutamate decarboxylase,arginine decarboxylase,lysine decarboxylase,AR systems,E. coli,Escherichia coli,pH,,,,,,,,
SQ_TP,ibd AND acid stress,E.coli AND ibd,glutamate decarboxylase AND ibd AND (microbiome OR bacteria),arginine decarboxylase AND ibd AND (microbiome OR bacteria),lysine decarboxylase  AND ibd AND (microbiome OR bacteria),AR systems AND ibd AND (microbiome OR bacteria),pH-value AND gut AND ibd,Escherichia coli AND ibd,inflammatory bowel disease AND acid stress,,,,,,,,
SQ_FP,acid resistance NOT ibd,E.coli NOT ibd,acid stress NOT ibd,pH value NOT ibd,pH value NOT microbio,pH value NOT bacteria,,,,,,,,,,,
SQ_R,inflammatory AND acid stress,E.coli AND inflammatory,acid resistance AND inflammatory,acid stress AND microbio,acid resistance AND microbio,E. coli AND ,,,,,,,,,,,
2,,,,,,,,,,, ,,,,,,
Pub Title,Tutorial: design and execution of crispr in vivo screens.,,,,,,,,,,,,,,,,
Keywords,crispr,in vivo screening,mouse model,,,,,,,,,,,,,,
SQ_TP,ibd AND crispr AND (microbiome OR bacteria),ibd AND in vivo screening AND (microbiome OR bacteria),mouse model AND ibd AND (microbiome OR bacteria),,,,,,,,,,,,,,
SQ_FP,cripspr AND ibd NOT microbiome,in vivo screening AND ibd NOT microbiome,mouse AND ibd NOT microbiome,,,,,,,,,,,,,,
SQ_R,crispr AND microbiome,in vivo screening AND microbiome,mouse model AND microbiome,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
Pub Title,α-Gal present on both glycolipids and glycoproteins contributes to immune response in meat-allergic patients,,,,,,,,,,,,,,,,
Keywords,Glycolipids,a-Gal syndrome,red meat allergy,"galactose-a-1,3-galactose",anaphylaxis,pork kidney,basophil activation,micelle formation,in vitro digestion,alpha-gal,,,,,,,
SQ_TP,Glycolipids AND ibd AND microbiome,a-Gal syndrome  AND ibd AND microbiome,red meat allergy  AND ibd AND microbiome,"galactose-a-1,3-galactose  AND ibd AND microbiome",anaphylaxis  AND ibd AND (microbiome OR bacteria),pork kidney  AND ibd AND microbiome,basophil activation  AND ibd AND microbiome,micelle formation  AND ibd AND microbiome,in vitro digestion  AND ibd AND microbiome,,,,,,,,
SQ_FP,Glycolipids NOT ibd,red meat allergy NOT ibd,alpha-gal NOT ibd,anaphylaxis NOT ibd,basophil NOT ibd,,,,,,,,,,,TP," Which combination leads us to papers surveying ""Gut Microbiome interaction with ibd disease"""
SQ_R,glycolipids AND gastrointestinal,alpha-gal AND gastrointestinal,red meat AND gastrointestinal,red meat AND inflammation,anaphylaxis AND inflammation,red meat AND microbiome AND disease,glycolipid AND gut,,,,,,,,,FP,"Which result in papers surveying anything except for ""Gut microbiome with ibd disease"". "
4,,,,,,,,,,,,,,,,,"For example they have worked on ""Gut Microbiome"" or a family of bacteria found normally in the gut but not its relation to ibd."
Pub Title,Dietary PUFA Preferably Modify Ethanolamine-Containing Glycerophospholipids of the Human Plasma Lipidome,,,,,,,,,,,,,,,,Another example would be papers focusing on gastronomical diseases but NOT from microbiome aspects.
Keywords,polyunsaturated fatty acids,lipidomics,phosphatidylethanolamine,human plasma lipidome,plasmalogen,vegetable oil,,,,,,,,,,other,"Papers similar to ""True Positives"" papers but not necessarily exactly ibd and gut microbiome."
SQ_TP,polyunsaturated fatty acids AND ibd AND (microbiome OR bacteria),lipidomics AND ibd and gut,phosphatidylethanolamine AND ibd AND (microbiome OR bacteria),human plasma lipidome AND ibd AND (microbiome OR bacteria),plasmalogen AND ibd AND (microbiome OR bacteria),vegetable oil AND ibd AND (microbiome OR bacteria),lipidomics AND inflammatory AND gut,,human plasma lipidome AND gut AND disease,vegetable oil AND inflammatory,,,,,,,"Papers which have worked on ""Saliva microbiome"" and ibd, or gut microbiome and other inflammatory diseases or cancer, ""Vira"" and ibd, metabolites and diseases and ..."
SQ_FP,lipidomis NOT ibd,polyunsaturated fatty acids NOT ibd,lipidomics AND ibd NOT microbiome,polyunsaturated fatty acids NOT bacteria,,,,,,,,,,,,,
SQ_R,lipidomics AND gastrointestinal NOT ibd,polyunsaturated fatty acids AND gastrointestinal NOT ibd,vegetable oil  AND gastrointestinal NOT ibd,lipidomics AND inflammation,lipidomics AND microbiome,lipidomis AND bacteria,polyunsaturated fatty acids AND bacteria NOT ibd,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
Pub Title,Susceptibility to diet-induced obesity at thermoneutral conditions is independent of UCP1,,,,,,,,,,,,,,,,
Keywords,adipose tissue,diet-induced obesity,thermogenesis,uncoupling protein 1,UCP1,,,,,,,,,,,,
SQ_TP,adipose AND ibd AND (microbiome OR bacteria),diet AND ibd AND (microbiome OR bacteria),obesity AND ibd AND (microbiome OR bacteria),thermogenesis AND ibd AND (microbiome OR bacteria),UCP1 AND ibd AND (microbiome OR bacteria),uncoupling protein AND ibd AND (microbiome OR bacteria),diet AND microbiome AND (ibd OR inflammatory),,,,,,,,,,
SQ_FP,adipose NOT ibd,obesity NOT ibd,thermogenesis NOT ibd,diet-induced AND adipose,thermogenesis AND microbiome NOT ibd ,,,,,,,,,,,,
SQ_R,adipose AND inflammatory,diet AND gut,obesity AND microbiome,UCP1 AND disease NOT (IBD OR inflammatory),thermogenesis AND microbiome,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,
Pub Title,Namco: A microbiome explorer,,,,,,,,,,,,,,,,
Keywords,bioinformatics pipeline,data visualization,microbial co-occurrence networks,microbiome data analysis,microbial functional profiling,,,,,,,,,,,,
SQ_TP,bioinformatics AND ibd AND (microbiome OR bacteria),data AND ibd AND (microbiome OR bacteria),microbial network AND ibd AND (microbiome OR bacteria),microbiome analysis AND ibd,,,,,,,,,,,,,
SQ_FP,bioinformatics NOT ibd,microbiome NOT ibd,,,,,,,,,,,,,,,
SQ_R,bioinformatics AND infammation,bioinformatics AND gastrointensinal,data AND gastrointensinal,microbial network AND data visualization,microbial functional profiling AND microbiome,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,
Pub Title,Tumor targeting with bacterial Shiga toxin B-subunit in genetic porcine models for colorectal cancer and osteosarcoma,,,,,,,,,,,,,,,,
Keywords,colorectal tumors,osteosarcoma,Bacterial Shiga Toxin B Subunit,Tumor targeting,,,,,,,,,,,,,
SQ_TP,colorectal tumor AND ibd AND (microbiome OR bacteria),osteosarcoma AND ibd AND (microbiome OR bacteria),shiga toxin AND ibd AND (microbiome OR bacteria),Tumor targeting AND ibd AND (microbiome OR bacteria),,,,,,,,,,,,,
SQ_FP,colorectal NOT ibd,osteosarcoma NOT ibd,osteosarcoma NOT microbiome,tumor targeting NOT ibd,shiga toxin NOT microbiome,,,,,,,,,,,,
SQ_R,colorectal AND inflammation,osteosarcoma AND ibd,shiga toxin AND gastrointestinal,tumor AND gastrointestinal,tumor targeting AND microbiıme,shiga toxin AND microbiome,shiga toxin AND inflammation,,,,,,,,,,
8,*dont have full access,,,,,,,,,,,,,,,,
Pub Title,Selective multi-kinase inhibition sensitizes mesenchymal pancreatic cancer to immune checkpoint blockade by remodeling the tumor microenvironment,,,,,,,,,,,,,,,,
Keywords,Mesenchymal PDAC,Multi-kinase inhibition,KRAS,Tumor microenvironment remodeling,pancreatic adenocarcinoma,,,,,,,,,,,,
SQ_TP,Mesenchymal AND cancer AND ibd AND (microbiome OR bacteria),kinase inhibation AND (microbiome OR bacteria),multi kinase AND ibd AND (microbiome OR bacteria),tumor microenvironment AND (microbiome OR bacteria),pancreatic adenocarcinoma AND ibd AND (microbiome OR bacteria),,,,,,,,,,,,
SQ_FP,mesenchymal AND cancer NOT ibd,kinase inhibation NOT ibd,kinase inhibation NOT (microbiome OR bacteria),tumor NOT ibd,adenocarcinoma NOT ibd,,,,,,,,,,,,
SQ_R,PDAC AND inflammation,mesenchymal AND inflammation,multi kinase AND gastrointestinal,tumor AND gastrointestinal,adenocarcinoma AND gastrointestinal,pancreatic adenocarcinoma AND inflammation,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,
Pub Title,Wild-type APC Influences the Severity of Familial Adenomatous Polyposis,,,,,,,,,,,,,,,,
Keywords,adenomatous polyposis coli,familial adenomatous polyposis ,polyposis,,,,,,,,,,,,,,
SQ_TP,adenomatous polyposis coli AND ibd AND (microbiome OR bacteria),familial adenomatous polyposis AND ibd AND (microbiome OR bacteria),,,,,,,,,,,,,,,
SQ_FP,adenomatous polyposis coli NOT ibd,familial adenomatous polyposis NOT ibd,familial adenomatous polyposis  NOT (microbiome OR bacteria),,,,,,,,,,,,,,
SQ_R,adenomatous polyposis coli AND inflammation),adenomatous polyposis coli AND gastrointestinal,familial adenomatous polyposis AND gastrointestinal,,,,,,,,,,,,,,
10,*no access,,,,,,,,,,,,,,,,
Pub Title,Exploring vast microbial epitope spaces,,,,,,,,,,,,,,,,
Keywords,,,,,,,,,,,,,,,,,
SQ_TP,,,,,,,,,,,,,,,,,
SQ_FP,,,,,,,,,,,,,,,,,
SQ_R,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,
Pub Title,Low Intestinal IL22 Associates With Increased Transplant-Related Mortality After Allogeneic Stem Cell Transplantation,,,,,,,,,,,,,,,,
Keywords,IL-22,transplant-related mortality,Gastro-intestinal biopsy,stem cell transplantation,Graft versus host disease,Microbiota dependence,interleukin 22,gvhd,,,,,,,,,
SQ_TP,IL-22 AND ibd AND (microbiome OR bacteria),transplant-related mortality AND ibd,gastro-intestinal AND ibd AND (microbiome OR bacteria),stem cell AND ibd AND (microbiome OR bacteria),Graft versus host disease AND ibd AND (microbiome OR bacteria),Microbiota dependence AND ibd,interleukin 22 AND ibd AND (microbiome OR bacteria),gvhd AND ibd AND (microbiome OR bacteria),,,,,,,,,
SQ_FP,IL-22 NOT ibd,Gastro-intestinal NOT ibd,stem cell NOT ibd,Graft versus host disease NOT ibd,Microbiota dependence NOT ibd,interleukin 22 NOT ibd,gvhd NOT ibd,,,,,,,,,,
SQ_R,IL-22 AND gastrointestinal,IL-22 AND inflammation,Gastro-intestinal biopsy AND inflammation,stem cell AND inflammation,stem cell AND gastrointestinal,microbiata AND inflammation,interleukin AND inflammation,,,,,,,,,,
12,,,,,,,,,,,,,,,,,
Pub Title, Comparative Study of the Role of Interepithelial Mucosal Mast Cells in the Context of Intestinal Adenoma-Carcinoma Progression,,,,,,,,,,,,,,,,
Keywords,intestinal cancer,mast cell subtyping,adenoma-carcinoma,nterepithelial mucosal mast cells,colonic adenomas,tumor microenvironment,colorectal cancer,human,genetically engineered mouse models,,,,,,,,
SQ_TP,intestinal cancer AND ibd AND (microbiome OR bacteria),mast cell AND ibd AND (microbiome OR bacteria),adenoma-carcinoma AND ibd,colonic adenomas AND ibd,tumor AND ibd AND (microbiome OR bacteria),colorectal AND ibd AND (microbiome OR bacteria),human AND ibd AND (microbiome OR bacteria),,,,,,,,,,
SQ_FP,intestinal cancer NOT ibd,mast cell NOT ibd,adenoma NOT ibd,mucosal mast NOT ibd,adenomas NOT ibd,colorectal cancer NOT ibd AND microbiome,,,,,,,,,,,
SQ_R,intestinal cancer AND (microbiome OR bacteria),mast cell AND microbiome,mast cell AND gastrointestinal,adenomas AND gastrointestinal,adenomas AND inflammation,tumor AND inflammation AND microbiome,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,
Pub Title,Ring Trial on Quantitative Assessment of Bile Acids Reveals a Method- and Analyte-Specific Accuracy and Reproducibility,,,,,,,,,,,,,,,,
Keywords,bile acids,ring trial,LC-MS/MS,absolute quantification,human serum,murine serum,,,,,,,,,,,
SQ_TP,bile acid AND ibd AND (microbiome OR bacteria),ring trial AND ibd AND (microbiome OR bacteria),absolute quantification AND ibd AND (microbiome OR bacteria),absolute quantification AND ibd AND (microbiome OR bacteria),(human serum OR murine serum) AND ibd AND (microbiome OR bacteria) ,,,,,,,,,,,,
SQ_FP,bile acid NOT ibd,ring trial NOT ibd,human serum NOT ibd,murine serum NOT ibd,,,,,,,,,,,,,
SQ_R,bile acid AND inflammation AND microbiome,ring trial AND microbiome AND inflammation,ring trial AND microbiome AND gastrointestinal,human serum AND microbiome,murine serum AND microbiome,human serum AND gastrointestinal,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,
Pub Title,Editorial overview: current state and future of the microbiome field: why context matters.,,,,,,,"mammalian gut microbiome,",,,,,,,,,
Keywords,human diseases,microbiome mechanisms,bacterial adaptation,gut microbiota,,,,,,,,,,,,,
SQ_TP,human disease AND ibd AND (microbiome OR bacteria),microbiome mechanisms AND ibd,bacterial adaptation AND ibd,gut microbiota AND ibd,,,,,,,,,,,,,
SQ_FP,human disease NOT ibd,microbiome NOT ibd,bacteria NOT ibd,gut microbiota NOT ibd,,,,,,,,,,,,,
SQ_R,human disease AND inflammation,human disease AND gastrointestinal,microbiome AND inflammation,microbiome AND gastrointestinal,bacterial AND inflammation,bacterial adaptation AND gastrointestinal,gut AND gastrointestinal,,,,,,,,,,
15,,,,,,,,,,,,,,,,,
Pub Title,The intestinal clock drives the microbiome to maintain gastrointestinal homeostasis,,,,,,,,,,,,,,,,
Keywords,intestinal clock,gastrointestinal homeostasis,Diurnal microbial oscillations,bacterial circadian rhythms,microbiota composition,,,,,,,,,,,,
SQ_TP,intestinal clock AND ibd AND (microbiome OR bacteria),gastrointestinal homeostasis AND ibd AND (microbiome OR bacteria),microbial oscillations AND ibd,bacterial circadian rhythms AND ibd,microbiota composition AND ibd,,,,,,,,,,,,
SQ_FP,intestinal clock NOT ibd,gastrointestinal homeostasis NOT ibd,Diurnal microbial oscillations NOT ibd,bacterial circadian rhythms NOT ibd,microbiota composition NOT ibd,,,,,,,,,,,,
SQ_R,intestinal clock AND inflammation AND microbiome,gastrointestinal homeostasis AND inflammation,Diurnal microbial oscillations AND inflammation,bacterial circadian rhythms AND inflammation,microbiota composition AND inflammation,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,
Pub Title,A taxonomic note on the genus Prevotella: Description of four novel genera and emended description of the genera Hallella and Xylanibacter,,,,,,,,,,,,,,,,
Keywords,Taxonomy,Prevotella,Microbiome,Phylogenomic,Pan-genome,Ecology,reclassification,,,,,,,,,,
SQ_TP,Taxonomy AND ibd AND (microbiome OR bacteria),Prevotella AND ibd,Microbiome AND ibd,Phylogenomic AND ibd AND (microbiome OR bacteria),Pan-genome AND ibd AND (microbiome OR bacteria),Ecology AND ibd AND (microbiome OR bacteria),reclassification AND ibd AND (microbiome OR bacteria),,,,,,,,,,
SQ_FP,Taxonomy NOT ibd,Prevotella NOT ibd,Microbiome NOT ibd,Phylogenomic NOT ibd,Pan-genome NOT ibd,Ecology NOT ibd,reclassification NOT ibd,,,,,,,,,,
SQ_R,Taxonomy AND (inflammation OR gastrointestinal),Prevotella AND (inflammation OR gastrointestinal),Microbiome AND (inflammation OR gastrointestinal),Phylogenomic AND (inflammation OR gastrointestinal),ecology AND (inflammation OR gastrointestinal),reclassification AND (inflammation OR gastrointestinal),,,,,,,,,,,
17,,,,,,,,,,,,,,,,,
Pub Title,"NF-κB in control of regulatory T cell development, identity, and function",,,,,,,,,,,,,,,,
Keywords,Regulatory T cells,Treg cells,NF-κB transcription factors,cancer,autoimmunity,T cell therapies,,,,,,,,,,,
SQ_TP,T cells AND ibd AND (microbiome OR bacteria) ,Treg cells AND ibd AND (microbiome OR bacteria),NF-κB AND ibd AND (microbiome OR bacteria),cancer AND ibd AND (microbiome OR bacteria),autoimmunity AND ibd AND (microbiome OR bacteria),,,,,,,,,,,,
SQ_FP,T cell NOT ibd,Treg cells NOT ibd,NF-κB NOT ibd,cancer NOT ibd,autoimmunity NOT ibd,T cell therapies,,,,,,,,,,,
SQ_R,T cell AND (inflammation OR gastrointestinal),Treg cells AND (inflammation OR gastrointestinal),NF-κB AND (inflammation OR gastrointestinal),cancer AND (inflammation OR gastrointestinal),autoimmunity AND (inflammation OR gastrointestinal),,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,
Pub Title,crispr somatic genome engineering and cancer modeling in the mouse pancreas and liver,,,,,,,,,,,,,,,,
Keywords,genome engineering,somatic cells ,crispr,cancer modeling,cancer evolution,,,,,,,,,,,,
SQ_TP,genome engineering AND ibd AND (microbiome OR bacteria) ,somatic cells AND ibd AND (microbiome OR bacteria) ,crispr AND ibd AND (microbiome OR bacteria) ,cancer modeling AND ibd AND (microbiome OR bacteria) ,cancer evolution AND ibd AND (microbiome OR bacteria) ,,,,,,,,,,,,
SQ_FP,genome engineering NOT ibd,somatic cell NOT ibd,crispr  NOT ibd,cancer modeling  NOT ibd,cancer evolution  NOT ibd,,,,,,,,,,,,
SQ_R,genome engineering AND (inflammation OR gastrointestinal),somatic cells AND (inflammation OR gastrointestinal),crispr AND (inflammation OR gastrointestinal),cancer modeling AND (inflammation OR gastrointestinal),cancer evolution AND (inflammation OR gastrointestinal),,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,
Pub Title,CagA-specific Gastric CD8+ Tissue-Resident T Cells Control Helicobacter pylori During the Early Infection Phase,,,,,,,,,,,,,,,,
Keywords,Helicobacter pylori,CD8+ T cells,Tissue-resident memory (TRM),Gastric infection,chronic infection,Immune response,,,,,,,,,,,
SQ_TP,Helicobacter pylori AND ibd,CD8+ T cells AND ibd AND (microbiome OR bacteria) ,Tissue-resident memory AND ibd AND (microbiome OR bacteria) ,Gastric infection AND ibd,chronic infection AND ibd AND (microbiome OR bacteria) ,Immune response AND ibd AND (microbiome OR bacteria) ,,,,,,,,,,,
SQ_FP,Helicobacter pylori NOT ibd,CD8+ T cells  NOT ibd,Tissue-resident memory  NOT ibd,Gastric infection  NOT ibd,chronic infection  NOT ibd,Immune response  NOT ibd,,,,,,,,,,,
SQ_R,Helicobacter pylori AND (inflammation OR gastrointestinal),CD8+ T cells AND (inflammation OR gastrointestinal),Tissue-resident memory AND (inflammation OR gastrointestinal),Gastric infection AND bacteria AND microbiome,chronic infection AND (inflammation OR gastrointestinal),Immune response AND (inflammation OR gastrointestinal),,,,,,,,,,,
20,,,,,,,,,,,,,,,,,
Pub Title,"A novel monoclonal IgG1 antibody specific for Galactose-alpha-1,3-galactose questions alpha-Gal epitope expression by bacteria",,,,,,,,,,,,,,,,
Keywords,alpha-Gal epitope,allergic reactions,IgG antibodies ,Commensal bacteria, intestinal tract,,,,,,,,,,,,
SQ_TP,alpha-Gal AND ibd AND (microbiome OR bacteria) ,allergic AND ibd AND (microbiome OR bacteria) ,IgG AND ibd AND (microbiome OR bacteria)  ,Commensal bacteria AND ibd,intestinal tract AND ibd AND (microbiome OR bacteria) ,,,,,,,,,,,,
SQ_FP,alpha-Gal NOT ibd,allergic reactions NOT ibd,IgG NOT ibd ,Commensal bacteria NOT ibd,intestinal tract NOT ibd,,,,,,,,,,,,
SQ_R,alpha-Gal AND (inflammation OR gastrointestinal),allergic reactions AND (inflammation OR gastrointestinal),IgG antibodies AND (inflammation OR gastrointestinal),Commensal bacteria AND (inflammation OR gastrointestinal),intestinal tract AND bacteria AND microbiome,,,,,,,,,,,,